Folio,Nivel de estudios,Campus,Área,Actividad,Fecha,ID,Clasificación,Región,Reincidencia,Programa,Semestre
R0001,Kindergardiano,Narnia,Sociología,Examen nivelador,01/01/2023 00:00,A000001,Copia en exámenes,Centro,Sí,ALPHA,1
R0002,La Secu,Distrito 13,Sociología,Estudio,02/01/2023 00:00,A000002,Colusión,Centro,No,ALPHA,2
R0003,La Secu,Narnia,Sociología,Examen nivelador,03/01/2023 00:00,A000003,Copia en exámenes,Centro,No,ALPHA,3
R0004,La Secu,Narnia,Sociología,Examen nivelador,04/01/2023 00:00,A000004,Copia en exámenes,Centro,Sí,BETA,4
R0005,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,05/01/2023 00:00,A000005,Copia en exámenes,Centro,No,BETA,5
R0006,La Secu,Narnia,Sociología,Estudio,06/01/2023 00:00,A000006,Plagio,Centro,No,GAMMA,6
R0007,Big Bang Theory,Pizza Planeta,Diseños,Prototipo,07/01/2023 00:00,A000007,Plagio,Sur,No,DELTA,1
R0008,Kindergardiano,Pizza Planeta,Arquitectura,Examen nivelador,08/01/2023 00:00,A000008,Copia en exámenes,Sur,No,EPSILON,2
R0009,Kindergardiano,Pizza Planeta,Arquitectura,Examen nivelador,09/01/2023 00:00,A000009,Copia en exámenes,Sur,Sí,DSETA,3
R0010,Big Bang Theory,Pizza Planeta,Diseños,Estudio,10/01/2023 00:00,A000010,Otra,Sur,Sí,ETA,4
R0011,Big Bang Theory,Narnia,Arquitectura,Experimento,11/01/2023 00:00,A000011,Suplantación de identidad,Centro,No,ETA,5
R0012,La Secu,Pandora,Sociología,Experimento,12/01/2023 00:00,A000012,Otra,Norte,Sí,KAPPA,6
R0013,Big Bang Theory,Pizza Planeta,Bienestar,Experimento,13/01/2023 00:00,A000013,Intercambio de tareas en línea,Sur,No,LAMBDA,1
R0014,Big Bang Theory,Pizza Planeta,Bienestar,Examen nivelador,14/01/2023 00:00,A000014,Copia en exámenes,Sur,Sí,OMICRON,2
R0015,Big Bang Theory,Pandora,Bienestar,Estudio,15/01/2023 00:00,A000015,Plagio,Norte,No,PI,3
R0016,La Secu,Narnia,Sociología,Estudio,16/01/2023 00:00,A000016,Plagio,Centro,No,SIGMA,4
R0017,La Secu,Pandora,Sociología,Experimento,17/01/2023 00:00,A000017,Copia en exámenes,Norte,No,OMEGA,5
R0018,La Secu,Pandora,Sociología,Experimento,18/01/2023 00:00,A000018,Copia en exámenes,Norte,No,JI,7
R0019,Big Bang Theory,Rarotonga,Bienestar,Examen nivelador,19/01/2023 00:00,A000019,Copia en exámenes,Norte,No,PHI,1
R0020,Big Bang Theory,Rarotonga,Bienestar,Examen nivelador,20/01/2023 00:00,A000020,Copia en exámenes,Norte,Sí,ETA,2
R0021,Big Bang Theory,Pizza Planeta,Bienestar,Estudio,21/01/2023 00:00,A000021,Copia en exámenes,Sur,No,KAPPA,3
R0022,Big Bang Theory,Wonderland,Arquitectura,Estudio,22/01/2023 00:00,A000022,Plagio,Centro,No,LAMBDA,4
R0023,Big Bang Theory,Narnia,Arquitectura,Examen nivelador,23/01/2023 00:00,A000023,Copia en exámenes,Centro,Sí,OMICRON,7
R0024,Big Bang Theory,Pizza Planeta,Arquitectura,Experimento,24/01/2023 00:00,A000024,Copia en exámenes,Sur,No,PI,6
